Signal:	FFT - Vib Velocity - Magnitude [dB]
dB-Reference:	0 dB = 1 m/s
Frequency	Magnitude
[ Hz ]	[ dB ]
165.0390625	-70.36664
165.28320313	-70.51812
165.52734375	-70.64519
165.77148438	-70.74319
166.015625	-70.79038
166.25976563	-70.81803
166.50390625	-70.82553
166.74804688	-70.85854
166.9921875	-70.87089
167.23632813	-70.89664
167.48046875	-70.90548
167.72460938	-70.89455
167.96875	-70.86603
168.21289063	-70.82314
168.45703125	-70.74155
168.70117188	-70.63673
168.9453125	-70.47957
169.18945313	-70.27914
169.43359375	-70.02184
169.67773438	-69.69247
169.921875	-69.30713
170.16601563	-68.86161
170.41015625	-68.37495
170.65429688	-67.89204
170.8984375	-67.47697
171.14257813	-67.1598
171.38671875	-66.96695
171.63085938	-66.94592
171.875	-67.09763
172.11914063	-67.4044
172.36328125	-67.76138
172.60742188	-68.097
172.8515625	-68.36362
173.09570313	-68.53371
173.33984375	-68.58056
173.58398438	-68.49637
173.828125	-68.34334
174.07226563	-68.20184
174.31640625	-68.17017
174.56054688	-68.2927
174.8046875	-68.52605
175.04882813	-68.77564
175.29296875	-68.98947
175.53710938	-69.14494
175.78125	-69.24763
176.02539063	-69.29346
176.26953125	-69.30724
176.51367188	-69.2888
176.7578125	-69.23686
177.00195313	-69.15381
177.24609375	-69.05521
177.49023438	-68.92949
177.734375	-68.78987
177.97851563	-68.62979
178.22265625	-68.45531
178.46679688	-68.27135
178.7109375	-68.06415
178.95507813	-67.85474
179.19921875	-67.64101
179.44335938	-67.40739
179.6875	-67.17015
179.93164063	-66.92547
180.17578125	-66.66071
180.41992188	-66.38017
180.6640625	-66.0715
180.90820313	-65.71603
181.15234375	-65.33517
181.39648438	-64.9128
181.640625	-64.4223
181.88476563	-63.89797
182.12890625	-63.31356
182.37304688	-62.67004
182.6171875	-61.98472
182.86132813	-61.25094
183.10546875	-60.47634
183.34960938	-59.69502
183.59375	-58.90319
183.83789063	-58.13986
184.08203125	-57.4486
184.32617188	-56.87841
184.5703125	-56.49948
184.81445313	-56.34678
185.05859375	-56.45199
185.30273438	-56.79665
185.546875	-57.31371
185.79101563	-57.95803
186.03515625	-58.64849
186.27929688	-59.36725
186.5234375	-60.07314
186.76757813	-60.74162
187.01171875	-61.38668
187.25585938	-61.99959
187.5	-62.57967
187.74414063	-63.14433
187.98828125	-63.66894
188.23242188	-64.18157
188.4765625	-64.67719
188.72070313	-65.14806
188.96484375	-65.60715
189.20898438	-66.03883
189.453125	-66.45457
189.69726563	-66.84859
189.94140625	-67.2216
190.18554688	-67.58624
190.4296875	-67.92854
190.67382813	-68.25171
190.91796875	-68.57452
191.16210938	-68.88504
191.40625	-69.18525
191.65039063	-69.47142
191.89453125	-69.77214
192.13867188	-70.04542
192.3828125	-70.31294
192.62695313	-70.59352
192.87109375	-70.84613
193.11523438	-71.11427
193.359375	-71.354
193.60351563	-71.60251
193.84765625	-71.84266
194.09179688	-72.08342
194.3359375	-72.30651
194.58007813	-72.52836
194.82421875	-72.73566
195.06835938	-72.92245
195.3125	-73.1114
195.55664063	-73.26913
195.80078125	-73.42818
196.04492188	-73.56583
196.2890625	-73.69681
196.53320313	-73.80685
196.77734375	-73.89266
197.02148438	-73.97464
197.265625	-74.02221
197.50976563	-74.04899
197.75390625	-74.05656
197.99804688	-74.03635
198.2421875	-73.98718
198.48632813	-73.9245
198.73046875	-73.83363
198.97460938	-73.75955
199.21875	-73.70714
199.46289063	-73.66862
199.70703125	-73.64396
199.95117188	-73.61665
200.1953125	-73.60066
200.43945313	-73.56813
200.68359375	-73.51411
200.92773438	-73.45662
201.171875	-73.37857
201.41601563	-73.29831
201.66015625	-73.19373
201.90429688	-73.07299
202.1484375	-72.92075
202.39257813	-72.74812
202.63671875	-72.55019
202.88085938	-72.30819
203.125	-72.05728
203.36914063	-71.77943
203.61328125	-71.46092
203.85742188	-71.13011
204.1015625	-70.80519
204.34570313	-70.52189
204.58984375	-70.34854
204.83398438	-70.31159
205.078125	-70.42078
205.32226563	-70.6329
205.56640625	-70.88258
205.81054688	-71.1195
206.0546875	-71.31909
206.29882813	-71.46752
206.54296875	-71.56592
206.78710938	-71.61672
207.03125	-71.6277
207.27539063	-71.59303
207.51953125	-71.51443
207.76367188	-71.38572
208.0078125	-71.20541
208.25195313	-70.96869
208.49609375	-70.65799
208.74023438	-70.28467
208.984375	-69.84557
209.22851563	-69.35313
209.47265625	-68.76945
209.71679688	-68.16092
209.9609375	-67.52231
210.20507813	-66.87463
210.44921875	-66.2571
210.69335938	-65.69861
210.9375	-65.27886
211.18164063	-65.0787
211.42578125	-65.10295
211.66992188	-65.32391
211.9140625	-65.66865
212.15820313	-66.048
212.40234375	-66.40949
212.64648438	-66.72929
212.890625	-66.99579
213.13476563	-67.19026
213.37890625	-67.31721
213.62304688	-67.39955
213.8671875	-67.41091
214.11132813	-67.39097
214.35546875	-67.29544
214.59960938	-67.14548
214.84375	-66.93451
215.08789063	-66.68845
215.33203125	-66.37847
215.57617188	-66.00455
215.8203125	-65.56869
216.06445313	-65.08533
216.30859375	-64.53696
216.55273438	-63.9376
216.796875	-63.29948
217.04101563	-62.64187
217.28515625	-61.98859
217.52929688	-61.36881
217.7734375	-60.85655
218.01757813	-60.48129
218.26171875	-60.32898
218.50585938	-60.40462
218.75	-60.70483
218.99414063	-61.2031
